LDGS_NM,CTPRVN_NM,GUGUN_NM,LDGS_ADDR,PET_INFO_CN
호텔포레 더 스파,부산,동구,부산광역시 동구 초량동 중앙대로296번길 6,['반려동물 동반 불가']
브라운도트호텔 범일점,부산,동구,부산 동구 중앙대로 528,['반려동물 동반 불가']
라메르 호텔,부산,동구,부산 동구 조방로34번길 9,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
해운대 더반호텔,부산,해운대구,부산 해운대구 해운대해변로197번길 10-18,['반려동물 동반 불가']
아벤트리 호텔 부산,부산,중구,부산 중구 광복로39번길 6,['반려동물 동반 불가']
GNB 호텔,부산,중구,부산 중구 흑교로 19,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔포레 프리미어 남포점,부산,중구,부산 중구 구덕로 54-1,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
타워 힐 호텔,부산,중구,부산 중구 백산길 20,['반려동물 동반 불가']
브라운도트 호텔 연화리,부산,기장군,부산 기장군 기장읍 연화길 46-5,['반려동물 동반 불가']
베스트 해밀턴 루이스 호텔 기장점,부산,기장군,부산 기장군 기장읍 반송로 1545,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
해운대 센텀 호텔,부산,해운대구,부산 해운대구 센텀3로 20,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔위드시티,제주,제주시,제주특별자치도 제주시 노연로 34,['반려동물 동반 불가']
위드스테이호텔,제주,제주시,제주특별자치도 제주시 노연로 34,['반려동물 동반 불가']
뮤리 호텔,부산,남구,부산 남구 수영로219번길 12-8,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
부산 대연동 호텔 보스코,부산,남구,부산 남구 못골로12번길 64,['반려동물 동반 불가']
부산 대연동 Hotel Onna,부산,남구,부산 남구 유엔평화로4번길 5,['반려동물 동반 불가']
뮤트 호텔,부산,남구,부산 남구 수영로220번길 7,['반려동물 동반 불가']
정성호텔,부산,남구,부산 남구 수영로13번길 9,['반려동물 동반 불가']
호텔 파크하비오,서울,송파구,서울 송파구 송파대로 111,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
포레스타 2 호텔,서울,송파구,서울 송파구 백제고분로7길 23-5,['반려동물 동반 불가']
호텔 포레스타,서울,송파구,서울 송파구 백제고분로7길 23-5,['반려동물 동반 불가']
시그니엘 서울,서울,송파구,서울 송파구 올림픽로 300,['반려동물 동반 불가']
잠실 코너호텔,서울,송파구,서울 송파구 송파대로 385,['반려동물 동반 불가']
잠실 딜라이트 호텔,서울,송파구,서울 송파구 오금로11길 21-9,['반려동물 동반 불가']
호텔 인피니,서울,송파구,서울 송파구 백제고분로 268,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
로사나 부띠끄 호텔,서울,송파구,서울 송파구 삼학사로 98,['반려동물 동반 불가']
파로스 호텔,서울,송파구,서울 송파구 올림픽로10길 5,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
레이크호텔,서울,송파구,서울 송파구 석촌호수로 216,['반려동물 동반 불가']
가락관광호텔,서울,송파구,서울 송파구 송파대로28길 5,['반려동물 동반 불가']
롯데 호텔 월드,서울,송파구,서울 송파구 올림픽로 240,['반려동물 동반 불가']
하모니호텔,서울,강동구,서울 강동구 천중로40길 63,['반려동물 동반 불가']
발리관광호텔,서울,강동구,서울 강동구 풍성로 210,['반려동물 동반 불가']
바고 호텔,서울,강동구,서울 강동구 천중로 27,['반려동물 동반 불가']
안테룸 서울,서울,강남구,서울 강남구 도산대로 153,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
신라스테이 삼성,서울,강남구,서울 강남구 영동대로 506,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
안다즈 서울 강남,서울,강남구,서울 강남구 논현로 854,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 인 9 강남,서울,강남구,서울 강남구 영동대로 618,['반려동물 동반 불가']
에이든 바이 베스트웨스턴 청담,서울,강남구,서울 강남구 도산대로 216,['반려동물 동반 불가']
호텔 크레센도 서울,서울,강남구,서울 강남구 봉은사로 428,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
파티오세븐 호텔,서울,강남구,서울 강남구 논현로 736,['반려동물 동반 불가']
호텔 뉴브,서울,강남구,서울 강남구 선릉로85길 6,['반려동물 동반 불가']
호텔 세느,서울,강남구,서울 강남구 논현로 533,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
포포인츠 바이 쉐라톤 서울 강남,서울,강남구,서울 강남구 도산대로 203,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
오월호텔,서울,강남구,서울 강남구 언주로85길 27,['반려동물 동반 불가']
글래드 강남 코엑스센터,서울,강남구,서울 강남구 테헤란로 610,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
L7 강남 바이 롯데,서울,강남구,서울 강남구 테헤란로 415,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 엔트라 강남,서울,강남구,서울 강남구 도산대로 508,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 컬리넌,서울,강남구,서울 강남구 논현로 74-1,['반려동물 동반 불가']
유리앤 호텔,서울,강남구,서울 강남구 삼성로96길 20,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
도미인 서울 강남,서울,강남구,서울 강남구 봉은사로 134,['반려동물 동반 불가']
카파스 호텔,서울,강남구,서울 강남구 언주로89길 21,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
스테이호텔 강남,서울,강남구,서울 강남구 논현로87길 15-4,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 더 디자이너스 LYJ 강남 프리미어,서울,강남구,서울 강남구 봉은사로 113,['반려동물 동반 불가']
호텔 페이토 삼성,서울,강남구,서울 강남구 테헤란로87길 9,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
베니키아 노블레스 호텔,서울,강남구,서울 강남구 테헤란로25길 6-13,['반려동물 동반 불가']
호텔 카푸치노,서울,강남구,서울 강남구 봉은사로 155,"['반려동물 동반 가능(반려견만 허용, 객실당 2마리, 1마리당 최대 15 kg)*', '장애인 안내 동물 동반 가능', '특정 객실만*', '반려동물 감독 필수']"
제리스플래닛 호텔 강남,서울,강남구,서울 강남구 강남대로92길 13,['반려동물 동반 불가']
인더시티 비즈니스 호텔,서울,강남구,서울 강남구 테헤란로37길 13-8,['반려동물 동반 불가']
호텔 데님,서울,강남구,서울 강남구 논현로 66,['반려동물 동반 불가']
H 에비뉴 호텔 강남 역삼점,서울,강남구,서울 강남구 테헤란로29길 12,['반려동물 동반 불가']
알로프트 서울 강남,서울,강남구,서울 강남구 영동대로 736,"['반려동물 동반 가능(반려견과 반려묘만 허용, 객실당 2마리, 1마리당 최대 9 kg)*', '특정 객실만, 제한 사항 적용*']"
신라스테이 역삼,서울,강남구,서울 강남구 언주로 517,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 그라모스,서울,강남구,서울 강남구 테헤란로33길 6-5,['반려동물 동반 불가']
